종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,날짜
032080,아즈텍WB,KOSDAQ,벤처기업부,1459.0,5.0,0.34,1455.0,1464.0,1455.0,17264.0,25189921.0,31355411311.0,21491029,20240401
097780,에코볼트,KOSDAQ,중견기업부,1038.0,-7.0,-0.67,1037.0,1041.0,1035.0,81540.0,84565078.0,70304090844.0,67730338,20240401
000670,영풍,KOSPI,,470500.0,-1500.0,-0.32,477000.0,477000.0,470500.0,854.0,403084500.0,866679820000.0,1842040,20240401
012160,영흥,KOSPI,,519.0,4.0,0.78,515.0,525.0,514.0,27870.0,14447828.0,52580083068.0,101310372,20240401
006980,우성,KOSPI,,19520.0,-40.0,-0.2,19570.0,19630.0,19440.0,6344.0,123890460.0,60316800000.0,3090000,20240401
010400,우진아이엔에스,KOSPI,,4770.0,-50.0,-1.04,4820.0,4830.0,4700.0,16059.0,76616555.0,36356940000.0,7622000,20240401
030530,원익홀딩스,KOSDAQ,우량기업부,4045.0,-75.0,-1.82,4170.0,4200.0,4040.0,402462.0,1649213550.0,312427633145.0,77237981,20240401
012620,원일특강,KOSDAQ,우량기업부,8490.0,-110.0,-1.28,8420.0,8520.0,8420.0,13098.0,110699430.0,37356000000.0,4400000,20240401
446070,유니드비티플러스,KOSPI,,4750.0,135.0,2.93,4615.0,4775.0,4580.0,63052.0,297958785.0,50403271250.0,10611215,20240401
002920,유성기업,KOSPI,,2790.0,-5.0,-0.18,2795.0,2825.0,2770.0,13794.0,38562245.0,72393525000.0,25947500,20240401
024800,유성티엔에스,KOSDAQ,우량기업부,2155.0,0.0,0.0,2170.0,2170.0,2135.0,20127.0,43341365.0,79846654860.0,37051812,20240401
023410,유진기업,KOSDAQ,우량기업부,3675.0,-20.0,-0.54,3695.0,3705.0,3655.0,184574.0,678599550.0,284117421525.0,77310863,20240401
003460,유화증권,KOSPI,,2240.0,-30.0,-1.32,2270.0,2280.0,2240.0,8906.0,20065665.0,127013409600.0,56702415,20240401
139480,이마트,KOSPI,,69100.0,1400.0,2.07,67700.0,69200.0,67600.0,203332.0,13981630000.0,1926219092900.0,27875819,20240401
129260,인터지스,KOSPI,,2330.0,40.0,1.75,2300.0,2330.0,2295.0,47500.0,110237080.0,69312546420.0,29747874,20240401
003200,일신방직,KOSPI,,9050.0,150.0,1.69,8900.0,9050.0,8860.0,48696.0,435321830.0,210684000000.0,23280000,20240401
174880,장원테크,KOSDAQ,관리종목(소속부없음),2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11610352250.0,4381265,20240401
000950,전방,KOSPI,,21600.0,-50.0,-0.23,21600.0,21900.0,21450.0,573.0,12418150.0,36288000000.0,1680000,20240401
071320,지역난방공사,KOSPI,,37400.0,800.0,2.19,36700.0,37800.0,36400.0,45998.0,1713439400.0,433045025600.0,11578744,20240401
088790,진도,KOSPI,,2165.0,80.0,3.84,2085.0,2170.0,2085.0,67804.0,145303350.0,26949365760.0,12447744,20240401
002020,코오롱,KOSPI,,17180.0,200.0,1.18,17010.0,17290.0,16960.0,18995.0,324614260.0,216921998680.0,12626426,20240401
003240,태광산업,KOSPI,,715000.0,-10000.0,-1.38,721000.0,728000.0,710000.0,2504.0,1789121000.0,796081000000.0,1113400,20240401
363280,티와이홀딩스,KOSPI,,3485.0,-55.0,-1.55,3460.0,3500.0,3260.0,268644.0,910625755.0,175745998980.0,50429268,20240401
104480,티케이케미칼,KOSDAQ,우량기업부,1648.0,-9.0,-0.54,1660.0,1665.0,1637.0,172547.0,283488584.0,149795675232.0,90895434,20240401
106240,파인테크닉스,KOSDAQ,우량기업부,1470.0,-22.0,-1.47,1492.0,1492.0,1450.0,86752.0,127190412.0,23406893790.0,15923057,20240401
065690,파커스,KOSDAQ,투자주의환기종목(소속부없음),1212.0,3.0,0.25,1214.0,1225.0,1188.0,29214.0,35307015.0,17027789172.0,14049331,20240401
003380,하림지주,KOSDAQ GLOBAL,우량기업부,6790.0,80.0,1.19,6770.0,6860.0,6720.0,165123.0,1118843830.0,760518166590.0,112005621,20240401
034830,한국토지신탁,KOSPI,,1028.0,-3.0,-0.29,1034.0,1034.0,1028.0,253165.0,260770225.0,259558928440.0,252489230,20240401
004150,한솔홀딩스,KOSPI,,3000.0,-40.0,-1.32,3020.0,3020.0,2940.0,122711.0,366444335.0,126025731000.0,42008577,20240401
004960,한신공영,KOSPI,,6780.0,20.0,0.3,6760.0,6840.0,6690.0,13106.0,88574830.0,78449359560.0,11570702,20240401
002320,한진,KOSPI,,22850.0,600.0,2.7,22300.0,22900.0,22150.0,35213.0,794478350.0,341553299800.0,14947628,20240401
088350,한화생명,KOSPI,,2835.0,0.0,0.0,2835.0,2865.0,2810.0,1690617.0,4794379220.0,2462282550000.0,868530000,20240401
000370,한화손해보험,KOSPI,,4400.0,-5.0,-0.11,4370.0,4435.0,4325.0,393068.0,1717140080.0,513651226000.0,116738915,20240401
143210,핸즈코퍼레이션,KOSPI,,2675.0,0.0,0.0,2660.0,2735.0,2540.0,26783.0,70590245.0,58517623225.0,21875747,20240401
069960,현대백화점,KOSPI,,54100.0,2500.0,4.84,51900.0,54300.0,51700.0,183436.0,9809961200.0,1266072058100.0,23402441,20240401
004020,현대제철,KOSPI,,32650.0,850.0,2.67,32100.0,32750.0,31950.0,509929.0,16546357200.0,4357004880250.0,133445785,20240401
005440,현대지에프홀딩스,KOSPI,,4380.0,120.0,2.82,4300.0,4390.0,4250.0,287641.0,1240892480.0,682860838380.0,155904301,20240401
057050,현대홈쇼핑,KOSPI,,51600.0,600.0,1.18,51600.0,52200.0,50700.0,19095.0,983922600.0,619200000000.0,12000000,20240401
000850,화천기공,KOSPI,,32550.0,-200.0,-0.61,32800.0,32950.0,32500.0,11153.0,364933650.0,71610000000.0,2200000,20240401
005010,휴스틸,KOSPI,,5030.0,45.0,0.9,5030.0,5040.0,4975.0,599396.0,2996964715.0,282626017250.0,56188075,20240401
000540,흥국화재,KOSPI,,4175.0,-5.0,-0.12,4230.0,4315.0,4125.0,206935.0,874989070.0,268213042875.0,64242645,20240401
027410,BGF,KOSPI,,3520.0,5.0,0.14,3545.0,3545.0,3485.0,36758.0,128898515.0,336923104320.0,95716791,20240701
000590,CS홀딩스,KOSPI,,69700.0,-300.0,-0.43,69700.0,69900.0,69300.0,653.0,45408500.0,80467395400.0,1154482,20240701
016610,DB금융투자,KOSPI,,4330.0,-15.0,-0.35,4345.0,4355.0,4310.0,22654.0,98357030.0,183792864370.0,42446389,20240701
139130,DGB금융지주,KOSPI,,7980.0,-40.0,-0.5,8000.0,8010.0,7940.0,283558.0,2260693810.0,1349783747340.0,169145833,20240701
017940,E1,KOSPI,,75600.0,-1400.0,-1.82,76500.0,77400.0,75200.0,12884.0,973896100.0,518616000000.0,6860000,20240701
012630,HDC,KOSPI,,8260.0,190.0,2.35,8140.0,8300.0,8080.0,43900.0,362053400.0,493466615460.0,59741721,20240701
014790,HL D&I,KOSPI,,2345.0,50.0,2.18,2310.0,2365.0,2295.0,186343.0,432846975.0,88778419345.0,37858601,20240701
021320,KCC건설,KOSDAQ,우량기업부,4385.0,65.0,1.5,4395.0,4395.0,4320.0,3481.0,15201610.0,93839000000.0,21400000,20240701
009440,KC그린홀딩스,KOSPI,,1800.0,-39.0,-2.12,1839.0,1860.0,1797.0,35283.0,64027517.0,40382964000.0,22434980,20240701
033180,KH 필룩스,KOSPI,,6630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125330728770.0,18903579,20240701
001940,KISCO홀딩스,KOSPI,,19340.0,-330.0,-1.68,19500.0,19670.0,19330.0,10607.0,206789740.0,312851189200.0,16176380,20240701
092230,KPX홀딩스,KOSPI,,57600.0,-400.0,-0.69,58000.0,58100.0,57500.0,550.0,31717400.0,243339609600.0,4224646,20240701
040610,SG&G,KOSDAQ,중견기업부,1758.0,49.0,2.87,1709.0,1775.0,1700.0,361802.0,630400340.0,59925290568.0,34087196,20240701
016250,SGC E&C,KOSDAQ,우량기업부,14900.0,-600.0,-3.87,15390.0,15390.0,14900.0,6535.0,98126010.0,48329416500.0,3243585,20240701
006120,SK디스커버리,KOSPI,,38350.0,400.0,1.05,37950.0,38450.0,37450.0,24456.0,929081550.0,720437539250.0,18785855,20240701
002820,SUN&L,KOSPI,,3140.0,-55.0,-1.72,3195.0,3195.0,3050.0,51114.0,159270640.0,39589085460.0,12607989,20240701
000050,경방,KOSPI,,7740.0,-40.0,-0.51,7830.0,7840.0,7690.0,1471.0,11381690.0,212194189800.0,27415270,20240701
013580,계룡건설,KOSPI,,13620.0,160.0,1.19,13470.0,13620.0,13470.0,9568.0,129505470.0,121638953340.0,8930907,20240701
121440,골프존뉴딘홀딩스,KOSDAQ,우량기업부,3940.0,25.0,0.64,3910.0,3960.0,3895.0,123492.0,485547655.0,168777062920.0,42836818,20240701
005720,넥센,KOSPI,,4830.0,-10.0,-0.21,4875.0,4900.0,4800.0,165301.0,797949605.0,258617408910.0,53543977,20240701
089140,넥스턴바이오,KOSDAQ,벤처기업부,3370.0,180.0,5.64,3190.0,3400.0,3150.0,57601.0,188020465.0,38022452990.0,11282627,20240701
065560,녹원씨엔아이,KOSDAQ,관리종목(소속부없음),11540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189726555040.0,16440776,20240701
017650,대림제지,KOSDAQ,우량기업부,7830.0,-20.0,-0.25,7750.0,7840.0,7750.0,1055.0,8215600.0,70470000000.0,9000000,20240701
128820,대성산업,KOSPI,,3780.0,-30.0,-0.79,3775.0,3815.0,3770.0,79781.0,301684015.0,170990106840.0,45235478,20240701
007680,대원,KOSDAQ,벤처기업부,4200.0,-40.0,-0.94,4240.0,4305.0,4180.0,6017.0,25361945.0,56475190800.0,13446474,20240701
001070,대한방직,KOSPI,,6330.0,-30.0,-0.47,6380.0,6450.0,6310.0,2112.0,13439680.0,33549000000.0,5300000,20240701
001130,대한제분,KOSPI,,140600.0,-900.0,-0.64,142500.0,142500.0,140600.0,1155.0,162960700.0,237614000000.0,1690000,20240701
003830,대한화섬,KOSPI,,107900.0,-2100.0,-1.91,109200.0,110400.0,106100.0,284.0,30762400.0,143291200000.0,1328000,20240701
460850,동국씨엠,KOSPI,,6910.0,0.0,0.0,6910.0,6940.0,6860.0,36352.0,250797800.0,206599712960.0,29898656,20240701
460860,동국제강,KOSPI,,9700.0,-70.0,-0.72,9760.0,9780.0,9670.0,152720.0,1483282290.0,481197764900.0,49608017,20240701
001230,동국홀딩스,KOSPI,,8340.0,-100.0,-1.18,8350.0,8430.0,8240.0,65628.0,545223850.0,265216028220.0,31800483,20240701
005960,동부건설,KOSPI,,4795.0,0.0,0.0,4805.0,4825.0,4785.0,14791.0,70872385.0,110027724275.0,22946345,20240701
001520,동양,KOSPI,,877.0,-1.0,-0.11,872.0,880.0,872.0,84614.0,74132084.0,209325923251.0,238684063,20240701
