종목명,자산 총액,부채 총액,자본 총액,매출액,영업이익,순이익,현금 흐름,종목코드,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,BVPS,적정 주가
삼천리,4736598693224,2985080872170,1751517821054,1755608970624,88000687211,84758686088,374476072717,004690,KOSPI,,89600,-300,-0.33,90000,90000,89500,6236,559317900,363330240000,4055025,431937.6134682277,431937.6134682277
코오롱,5908184734276,4579865684256,1328319050020,1396997566355,24343649010,-6190949911,31027394628,002020,KOSPI,,15920,40,0.25,15820,15980,15820,14419,229138970,201012701920,12626426,105201.50753823767,105201.50753823767
티와이홀딩스,2117752253312,1413818646595,703933606717,22684447140,-9264987279,-74156906418,-50143760713,363280,KOSPI,,3835,10,0.26,3825,3850,3775,48388,184058585,193396242780,50429268,13958.830548898706,13958.830548898706
무림페이퍼,2356089223889,1673231646097,682857577792,330796169580,26101460239,6456495836,57969453064,009200,KOSPI,,2125,5,0.24,2115,2140,2110,38291,81395365,88419783750,41609310,16411.172831080352,16411.172831080352
넥센,5174140846538,2888024731974,2286116114564,763658226552,52674322469,49373031643,17503145865,005720,KOSPI,,4660,-70,-1.48,4700,4750,4650,26385,123143070,249514932820,53543977,42696.04617834047,42696.04617834047
파인테크닉스,171641715266,68420236066,103221479200,15396623640,219260735,556696564,-779683273,106240,KOSDAQ,우량기업부,1193,-14,-1.16,1194,1215,1193,26248,31614947,18996207001,15923057,6482.516466530265,6482.516466530265
일신방직,1075296324445,191998078925,883298245520,135838205633,2848291454,3380796469,7016157172,003200,KOSPI,,8260,-20,-0.24,8230,8400,8210,38949,321909580,192292800000,23280000,37942.364498281786,37942.364498281786
BGF,2181998356159,282061699806,1899936656353,118545089458,11321066936,11504659314,17229559370,027410,KOSPI,,3555,-10,-0.28,3545,3570,3530,60382,213989565,340273192005,95716791,19849.564914404622,19849.564914404622
넥스턴바이오,252307360221,109745265638,142562094583,6419752185,-1027433741,742083060,649515835,089140,KOSDAQ,벤처기업부,3120,10,0.32,3155,3155,3060,21967,68325825,35201796240,11282627,12635.54087031327,12635.54087031327
SGC E&C,1117156346367,793721858309,323434488058,274443795084,1212465303,-541919164,-16184099764,016250,KOSDAQ,우량기업부,14900,10,0.07,14900,14990,14600,14711,214905580,48329416500,3243585,99715.12633644562,99715.12633644562
한국토지신탁,1897706571271,909904326640,987802244631,51324843393,,-882821801,32030221123,034830,KOSPI,,1033,-1,-0.1,1028,1034,1020,170123,174829235,260821374590,252489230,3912.2549687802525,3912.2549687802525
대원,531166905876,231001211195,300165694681,85349734539,27426642,-396433497,-18132623790,007680,KOSDAQ,벤처기업부,4610,65,1.43,4540,4665,4370,15608,70083435,61988245140,13446474,22323.00413335124,22323.00413335124
원일특강,281122484959,125101808413,156020676546,91404413200,3516075774,2174143688,-5104235870,012620,KOSDAQ,우량기업부,7810,10,0.13,7800,7830,7800,1896,14803490,34364000000,4400000,35459.24466954546,35459.24466954546
HS화성,1067851465134,692115474990,375735990144,188305377517,14733199610,11059177872,-37165077562,002460,KOSPI,,9110,-40,-0.44,9120,9180,9090,3424,31224230,92466500000,10150000,37018.32415211823,37018.32415211823
신영와코루,407076712010,40358920056,366717791954,48479423508,1420999001,1904882863,-3335808257,005800,KOSPI,,8940,-60,-0.67,8980,9000,8920,2236,20026040,80460000000,9000000,40746.42132822222,40746.42132822222
서한,1150679611788,748983968833,401695642955,189443573387,12421883071,5972397294,-50366623126,011370,KOSDAQ,우량기업부,855,2,0.23,853,861,851,75851,64926508,86265109575,100894865,3981.3289105942113,3981.3289105942113
DGB금융지주,96276729732566,90074094456918,6202635275648,,,112954349846,-110219233839,139130,KOSPI,,8020,-40,-0.5,8030,8100,8000,176948,1421944540,1356549580660,169145833,36670.34041357673,36670.34041357673
유성기업,443563099318,103651392517,339911706801,78713175927,2067570146,5521794403,945020433,002920,KOSPI,,2500,0,0.0,2490,2515,2480,15170,37857195,64868750000,25947500,13099.9790654591,13099.9790654591
골프존뉴딘홀딩스,1081139160627,371606527704,709532632923,83984311496,5837414978,3249311376,1550067681,121440,KOSDAQ,우량기업부,3715,-70,-1.85,3765,3800,3690,75629,282652785,159138778870,42836818,16563.616674866,16563.616674866
