종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"011200","HMM","KOSPI",,,,,,,,,,,"489039496"
"036640","HRS","KOSDAQ","중견기업부",,,,,,,,,,"16354800"
"082740","HSD엔진","KOSPI",,,,,,,,,,,"46721246"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)",,,,,,,,,,"3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)",,,,,,,,,,"5170000"
"373200","IBKS제15호스팩","KOSDAQ","SPAC(소속부없음)",,,,,,,,,,"3520000"
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)",,,,,,,,,,"3410000"
"003560","IHQ","KOSPI",,,,,,,,,,,"146235748"
"095340","ISC","KOSDAQ","우량기업부",,,,,,,,,,"16544516"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)",,,,,,,,,,"29301683"
"175330","JB금융지주","KOSPI",,,,,,,,,,,"196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)",,,,,,,,,,"35005517"
"234080","JW생명과학","KOSPI",,,,,,,,,,,"15834554"
"067290","JW신약","KOSDAQ","중견기업부",,,,,,,,,,"43936858"
"001060","JW중외제약","KOSPI",,,,,,,,,,,"21539926"
"001067","JW중외제약2우B","KOSPI",,,,,,,,,,,"100000"
"001065","JW중외제약우","KOSPI",,,,,,,,,,,"177486"
"096760","JW홀딩스","KOSPI",,,,,,,,,,,"68441182"
"035900","JYP Ent.","KOSDAQ","우량기업부",,,,,,,,,,"35497492"
"024840","KBI메탈","KOSDAQ","우량기업부",,,,,,,,,,"32950848"
"105560","KB금융","KOSPI",,,,,,,,,,,"415807920"
"024120","KB오토시스","KOSDAQ","우량기업부",,,,,,,,,,"11500000"
"002380","KCC","KOSPI",,,,,,,,,,,"8886471"
"021320","KCC건설","KOSDAQ","우량기업부",,,,,,,,,,"21400000"
"344820","KCC글라스","KOSPI",,,,,,,,,,,"15970512"
"036670","KCI","KOSDAQ","우량기업부",,,,,,,,,,"11270000"
