종목코드,종목명,EPS,BPS,PER,PBR,배당수익률,ROE,날짜,종가,거래량,상장주식수,등락률
058860,KTis,455.0,6665.0,5.79,0.4,4.55,6.826706676669167,20240304,3090.0,190651.0,34802000.0,0.16
058860,KTis,455.0,6665.0,5.79,0.4,4.55,6.826706676669167,20240305,3070.0,356443.0,34802000.0,-0.65
058860,KTis,455.0,6665.0,5.79,0.4,4.55,6.826706676669167,20240306,3015.0,225611.0,34802000.0,-1.79
058860,KTis,455.0,6665.0,5.79,0.4,4.55,6.826706676669167,20240307,2955.0,281847.0,34802000.0,-1.99
058860,KTis,455.0,6665.0,5.79,0.4,4.55,6.826706676669167,20240308,2965.0,115910.0,34802000.0,0.34
