辆格内靛,辆格疙,EPS,BPS,PER,PBR,硅寸荐劳伏,ROE,朝楼,辆啊,芭贰樊,惑厘林侥荐,殿遏伏
097955,CJ力老力寸 快,,,,,3.59,,20240304,133400.0,6619.0,1327433.0,-1.4
097955,CJ力老力寸 快,,,,,3.59,,20240305,132700.0,3939.0,1327433.0,-0.52
097955,CJ力老力寸 快,,,,,3.59,,20240306,134000.0,1024.0,1327433.0,0.98
097955,CJ力老力寸 快,,,,,3.59,,20240307,133000.0,2630.0,1327433.0,-0.75
097955,CJ力老力寸 快,,,,,3.59,,20240308,135100.0,2608.0,1327433.0,1.58
