종목코드,종목명,EPS,BPS,PER,PBR,배당수익률,ROE,날짜,종가,거래량,상장주식수,등락률
058820,CMG제약,46.0,1370.0,50.76,1.7,0.0,3.3576642335766427,20240304,2145.0,515947.0,138892244.0,-1.15
058820,CMG제약,46.0,1370.0,50.76,1.7,0.0,3.3576642335766427,20240305,2140.0,294629.0,138892244.0,-0.23
058820,CMG제약,46.0,1370.0,50.76,1.7,0.0,3.3576642335766427,20240306,2170.0,313290.0,138892244.0,1.4
058820,CMG제약,46.0,1370.0,50.76,1.7,0.0,3.3576642335766427,20240307,2200.0,790773.0,138892244.0,1.38
058820,CMG제약,46.0,1370.0,50.76,1.7,0.0,3.3576642335766427,20240308,2225.0,336764.0,138892244.0,1.14
