종목코드,종목명,EPS,BPS,PER,PBR,배당수익률,ROE,날짜,종가,거래량,상장주식수,등락률
041830,인바디,2819.0,19096.0,8.42,1.24,1.47,14.7622538751571,20240304,26650.0,31899.0,13683782.0,-2.74
041830,인바디,2819.0,19096.0,8.42,1.24,1.47,14.7622538751571,20240305,27200.0,34244.0,13683782.0,2.06
041830,인바디,2819.0,19096.0,8.42,1.24,1.47,14.7622538751571,20240306,27300.0,28546.0,13683782.0,0.37
041830,인바디,2819.0,19096.0,8.42,1.24,1.47,14.7622538751571,20240307,27150.0,28872.0,13683782.0,-0.55
041830,인바디,2819.0,19096.0,8.42,1.24,1.47,14.7622538751571,20240308,26800.0,16439.0,13683782.0,-1.29
