종목코드,종목명,EPS,BPS,PER,PBR,배당수익률,ROE,날짜,종가,거래량,상장주식수,등락률
066430,와이오엠,74.0,1098.0,9.05,0.61,0.0,6.739526411657559,20240304,677.0,183494.0,39153476.0,1.5
066430,와이오엠,74.0,1098.0,9.05,0.61,0.0,6.739526411657559,20240305,607.0,1000912.0,39153476.0,-10.34
066430,와이오엠,74.0,1098.0,9.05,0.61,0.0,6.739526411657559,20240306,619.0,207937.0,39153476.0,1.98
066430,와이오엠,74.0,1098.0,9.05,0.61,0.0,6.739526411657559,20240307,607.0,288205.0,39153476.0,-1.94
066430,와이오엠,74.0,1098.0,9.05,0.61,0.0,6.739526411657559,20240308,596.0,529815.0,39153476.0,-1.81
