날짜,KOSPI,KOSDAQ,NASDAQ,Dow Jones,S&P 500,Nikkei
20240301,,,16274.9404296875,39087.37890625,5137.080078125,39910.8203125
20240304,2674.27001953125,872.969970703125,16207.509765625,38989.828125,5130.9501953125,40109.23046875
20240305,2649.39990234375,866.3699951171875,15939.58984375,38585.19140625,5078.64990234375,40097.62890625
20240306,2641.489990234375,870.6699829101562,16031.5400390625,38661.05078125,5104.759765625,40090.78125
20240307,2647.6201171875,863.3699951171875,16273.3798828125,38791.3515625,5157.35986328125,39598.7109375
20240308,2680.35009765625,873.1799926757812,16085.1103515625,38722.69140625,5123.68994140625,39688.94140625
20240731,2745.989990234375,796.2000122070312,,,,38377.41015625
