종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"073490","이노와이어리스","19680","-130","-0.66","1430","13.76",,,"21824","0.90","350","1.78"
"215790","이노인스트루먼트","618","-15","-2.37",,,,,"1963","0.31","0","0.00"
"344860","이노진","2060","-5","-0.24","120","17.17",,,"1340","1.54","30","1.46"
"088390","이녹스","17220","-560","-3.15",,,,,"20528","0.84","0","0.00"
"272290","이녹스첨단소재","32550","550","1.72","1673","19.46","3628","8.97","20702","1.57","250","0.77"
"053350","이니텍","3760","0","0.00",,,,,"6362","0.59","20","0.53"
"452400","이닉스","11570","60","0.52","1837","6.30",,,"13452","0.86","416","3.60"
"264850","이랜시스","5530","-90","-1.60","168","32.92",,,"1570","3.52","50","0.90"
"054210","이랜텍","8030","0","0.00","659","12.19",,,"9538","0.84","80","1.00"
"009730","이렘","1758","-6","-0.34","3","586.00",,,"1094","1.61","0","0.00"
"164060","이루다","6420","80","1.26",,,,,"2682","2.39","0","0.00"
"065440","이루온","1390","-5","-0.36","141","9.86",,,"1706","0.81","0","0.00"
"139480","이마트","57500","1900","3.42",,,"3536","16.26","427553","0.13","2000","3.48"
"115610","이미지스","2310","-85","-3.55",,,,,"404","5.72","0","0.00"
"478110","이베스트스팩6호","2055","-5","-0.24",,,,,,,"0","0.00"
"131400","이브이첨단소재","2205","5","0.23","28","78.75",,,"2035","1.08","0","0.00"
"351330","이삭엔지니어링","12080","-210","-1.71",,,,,"5794","2.08","0","0.00"
"080010","이상네트웍스","5480","0","0.00","620","8.84",,,"12329","0.44","770","14.05"
"457190","이수스페셜티케미컬","37250","550","1.50",,,,,"3426","10.87","0","0.00"
"086890","이수앱지스","7080","380","5.67","108","65.56",,,"2230","3.17","0","0.00"
"007660","이수페타시스","47850","1000","2.13","755","63.38","2026","23.62","4218","11.34","100","0.21"
"005950","이수화학","8990","-240","-2.60",,,,,"7144","1.26","0","0.00"
"015020","이스타코","686","0","0.00",,,,,"1090","0.63","0","0.00"
"047560","이스트소프트","15640","-360","-2.25",,,,,"7330","2.13","0","0.00"
"239340","이스트에이드","2075","20","0.97",,,,,"934","2.22","0","0.00"
"067010","이씨에스","3270","5","0.15","378","8.65",,,"4538","0.72","120","3.67"
"093230","이아이디","1392","0","0.00",,,,,"831","1.68","0","0.00"
"418620","이에이트","16880","180","1.08",,,,,,,"0","0.00"
"102710","이엔에프테크놀로지","26350","0","0.00",,,,,"25207","1.05","50","0.19"
"074610","이엔플러스","2070","-80","-3.72",,,,,"1124","1.84","0","0.00"
"041520","이엘씨","6170","0","0.00",,,,,"15744","0.39","300","4.86"
"063760","이엘피","2960","-15","-0.50","64","46.25",,,"7330","0.40","50","1.69"
"123570","이엠넷","2910","5","0.17","189","15.40",,,"4232","0.69","50","1.72"
"083470","이엠앤아이","1690","-24","-1.40",,,,,"643","2.63","0","0.00"
"095190","이엠코리아","2450","-75","-2.97",,,,,"1798","1.36","0","0.00"
"091120","이엠텍","27350","250","0.92",,,,,"14898","1.84","100","0.37"
"102460","이연제약","14310","610","4.45","195","73.38",,,"13556","1.06","150","1.05"
"039030","이오테크닉스","195800","4800","2.51","3026","64.71","6978","28.06","45930","4.26","450","0.23"
"294090","이오플로우","11950","-150","-1.24",,,,,"1721","6.94","0","0.00"
"088290","이원컴포텍","1629","-32","-1.93",,,,,"1625","1.00","0","0.00"
"084680","이월드","1846","18","0.98",,,,,"1663","1.11","0","0.00"
"353810","이지바이오","4485","-55","-1.21","455","9.86",,,"1839","2.44","100","2.23"
"099750","이지케어텍","16130","140","0.88",,,,,"5083","3.17","0","0.00"
"377330","이지트로닉스","5790","90","1.58",,,,,"7078","0.82","120","2.07"
"035810","이지홀딩스","2890","-20","-0.69","407","7.10",,,"8970","0.32","120","4.15"
"160600","이큐셀","3100","0","0.00",,,,,"1578","1.96","0","0.00"
"092130","이크레더블","12510","-10","-0.08","975","12.83","967","12.93","3776","3.31","780","6.24"
