종목명,날짜,PBR,시가,고가,저가,종가,거래량,상장주식수,자산 총액,부채 총액,자본 총액,매출액,영업이익,순이익,현금 흐름,ROE,EPS,BPS,부채비율,영업이익률,순이익률,ROA,매출액 증가율
전방,20240730,0.12,20000,20250,19900,20150,161,1680000,2.35342E+11,45202428175,1.9014E+11,15691387966,-990475612,320313912,6661182397,0.168462324,0.038132609,22.63568943,23.77326065,-6.31222435,2.041335749,0.136105588,-83.44308448
종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,,,,,,,,,,,,,,,
950,전방,20240730,20000,20150,20250,19900,161,1680000,,,,,,,,,,,,,,,
