종목명,날짜,PBR,시가,고가,저가,종가,거래량,상장주식수,자산 총액,부채 총액,자본 총액,매출액,영업이익,순이익,현금 흐름,ROE,EPS,BPS,부채비율,영업이익률,순이익률,ROA,매출액 증가율
영풍,20240730,0.14,314000,314000,305500,306500,1239,1842040,5.52499E+12,1.25554E+12,4.26944E+12,7.41422E+11,-43197515058,-8400290376,18367246242,-0.1967537,-0.91206384,463.5561315,29.40762987,-5.826303201,-1.132996624,-0.152041808,-80.29040236
종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,,,,,,,,,,,,,,,
670,영풍,20240730,314000,306500,314000,305500,1239,1842040,,,,,,,,,,,,,,,
