종목코드,종목명,EPS,BPS,PER,PBR,배당수익률,ROE,날짜,종가,거래량,상장주식수,등락률
009270,신원,77.0,2918.0,17.26,0.46,5.27,2.6387936943111723,20240304,1287.0,139608.0,102586356.0,0.55
009270,신원,77.0,2918.0,17.26,0.46,5.27,2.6387936943111723,20240305,1345.0,1454377.0,102586356.0,4.51
009270,신원,77.0,2918.0,17.26,0.46,5.27,2.6387936943111723,20240306,1355.0,776056.0,102586356.0,0.74
009270,신원,77.0,2918.0,17.26,0.46,5.27,2.6387936943111723,20240307,1328.0,235760.0,102586356.0,-1.99
009270,신원,77.0,2918.0,17.26,0.46,5.27,2.6387936943111723,20240308,1320.0,193053.0,102586356.0,-0.6
