종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2890","45","1.58","2805","2895","2800","1036622","2941783840","140270895380","48536642"
"095570","AJ네트웍스","KOSPI",,"4565","15","0.33","4550","4620","4525","79444","362557505","206578844835","45252759"
"006840","AK홀딩스","KOSPI",,"15620","-170","-1.08","15790","15790","15500","5965","93135340","206926902820","13247561"
"054620","APS","KOSDAQ","중견기업부","7530","570","8.19","7030","7580","6980","206500","1508704870","153568484130","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","21600","-50","-0.23","21850","22000","21450","72833","1579039050","330078693600","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","16860","820","5.11","16110","16890","16110","911416","15177724180","254287645440","15082304"
"139050","BF랩스","KOSDAQ","벤처기업부","7400","280","3.93","7080","7470","7060","67083","486476050","63823719800","8624827"
"027410","BGF","KOSPI",,"3815","40","1.06","3775","3815","3750","66563","251521350","365159557665","95716791"
"282330","BGF리테일","KOSPI",,"126900","-1400","-1.09","128300","128900","126000","104475","13292666200","2193327671400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4480","-40","-0.88","4520","4540","4445","95961","428968050","242069072000","54033275"
"138930","BNK금융지주","KOSPI",,"7990","150","1.91","7910","8040","7850","1258818","10066929510","2573486619620","322088438"
"001460","BYC","KOSPI",,"470000","-4000","-0.84","474000","477000","467000","171","80754500","293569050000","624615"
"001465","BYC우","KOSPI",,"173100","2800","1.64","167600","173300","167600","787","134444700","37283143500","215385"
"013720","CBI","KOSDAQ","중견기업부","1724","101","6.22","1641","1743","1640","928750","1589047667","73846140112","42834188"
"083790","CG인바이츠","KOSDAQ","벤처기업부","3190","-95","-2.89","3260","3375","3065","452803","1461191855","245292440580","76894182"
"001040","CJ","KOSPI",,"92000","-100","-0.11","92700","93000","91100","85136","7836745500","2684283816000","29176998"
"079160","CJ CGV","KOSPI",,"5710","-50","-0.87","5740","5810","5690","392210","2248836760","699085720750","122431825"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","75800","400","0.53","75400","77400","74000","92680","7055896700","1662229873200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","14900","290","1.98","14670","15210","14650","16885","253382640","135776279800","9112502"
"00104K","CJ4우(전환)","KOSPI",,"73600","1200","1.66","73000","73600","72000","10780","782496700","311071283200","4226512"
"000120","CJ대한통운","KOSPI",,"120900","-500","-0.41","123000","123100","120400","57733","7004144500","2758012389600","22812344"
"011150","CJ씨푸드","KOSPI",,"2705","-20","-0.73","2730","2730","2700","52836","143076855","97192740965","35930773"
"011155","CJ씨푸드1우","KOSPI",,"19950","-100","-0.50","20300","20300","19800","171","3405260","3990000000","200000"
"001045","CJ우","KOSPI",,"56900","500","0.89","56400","57000","56200","1159","65709400","128606688700","2260223"
"097950","CJ제일제당","KOSPI",,"283000","-7000","-2.41","292500","292500","282500","36770","10476717500","4260334638000","15054186"
"097955","CJ제일제당 우","KOSPI",,"137300","800","0.59","136700","137600","135500","2721","372517100","182256550900","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","24250","250","1.04","24000","24250","23700","12870","308365200","287885960500","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2205","10","0.46","2190","2225","2180","397981","874198740","306257398020","138892244"
"023460","CNH","KOSDAQ","중견기업부","1793","0","0.00","1763","1793","1763","3833","6837489","66699600000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1199","-1","-0.08","1200","1220","1185","19682","23545972","88859312014","74111186"
"000480","CR홀딩스","KOSPI",,"6210","-10","-0.16","6220","6230","6150","20866","128738390","291189942900","46890490"
"065770","CS","KOSDAQ","벤처기업부","1230","9","0.74","1221","1234","1216","14447","17728654","23875689900","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1243","14","1.14","1313","1313","1199","29532","35757137","76130245983","61247181"
"000590","CS홀딩스","KOSPI",,"65400","500","0.77","64600","65400","64300","600","38975300","75503122800","1154482"
"012030","DB","KOSPI",,"1553","9","0.58","1545","1563","1540","217152","336626807","312423117949","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2245","-5","-0.22","2270","2270","2245","3826","8620765","11932175000","5315000"
"016610","DB금융투자","KOSPI",,"4440","40","0.91","4400","4490","4360","118535","524634355","188461967160","42446389"
"005830","DB손해보험","KOSPI",,"96900","700","0.73","95600","98700","95100","182821","17784167000","6860520000000","70800000"
"000990","DB하이텍","KOSPI",,"45100","-300","-0.66","45800","45800","44850","232120","10474837500","2002376318800","44398588"
"139130","DGB금융지주","KOSPI",,"9070","80","0.89","9000","9150","8960","465573","4232449320","1534152705310","169145833"
"060900","DGP","KOSDAQ","중견기업부","1606","-100","-5.86","1706","1717","1536","274399","449948444","40564715774","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","3355","5","0.15","3400","3400","3330","11103","37286815","52053287990","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","1953","15","0.77","1980","1980","1925","15371","29948838","60115730472","30781224"
"001530","DI동일","KOSPI",,"26150","-300","-1.13","26200","26300","25750","44176","1148855250","646915514450","24738643"
"000210","DL","KOSPI",,"45750","-150","-0.33","45850","46400","44850","38316","1745281950","958731693000","20955884"
"000215","DL우","KOSPI",,"25650","-500","-1.91","26400","26400","25300","1202","30711350","43248849750","1686115"
"375500","DL이앤씨","KOSPI",,"34200","0","0.00","34400","34600","33950","119464","4087956600","1323321906600","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"24100","-400","-1.63","25000","25000","23600","2026","48796050","50898019100","2111951"
"37550K","DL이앤씨우","KOSPI",,"18110","-250","-1.36","18680","18680","17800","5287","95830600","38282457350","2113885"
"068790","DMS","KOSDAQ","우량기업부","6800","-50","-0.73","6810","6860","6750","111579","758543060","167096814800","24573061"
"007340","DN오토모티브","KOSPI",,"80200","300","0.38","80000","81200","79400","11364","913456200","801519201000","9994005"
"004840","DRB동일","KOSPI",,"6350","-60","-0.94","6410","6540","6330","138049","885743980","126555500000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","4625","125","2.78","4555","4725","4360","3613160","16484527040","128627738875","27811403"
"155660","DSR","KOSPI",,"4305","25","0.58","4240","4305","4240","18687","79903785","68880000000","16000000"
"069730","DSR제강","KOSPI",,"4135","5","0.12","4150","4150","4100","12845","53003405","59544000000","14400000"
"017860","DS단석","KOSPI",,"158300","-3400","-2.10","161400","164100","157700","53001","8467557500","927860253200","5861404"
"180400","DXVX","KOSDAQ","중견기업부","3955","95","2.46","3875","4095","3860","182194","723392135","119517853560","30219432"
"017940","E1","KOSPI",,"68500","4200","6.53","65000","70000","64600","96218","6486388500","469910000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","544","-22","-3.89","567","570","536","2644938","1446269177","65748135392","120860543"
"037370","EG","KOSDAQ","중견기업부","9770","-120","-1.21","9900","9980","9670","48772","475425010","84265976440","8624972"
"278990","EMB","KONEX","일반기업부","11000","-380","-3.34","12000","12000","11000","512","5668000","52817391000","4801581"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4210","-30","-0.71","4240","4250","4180","332403","1399122200","897104690000","213089000"
"050120","ES큐브","KOSDAQ","벤처기업부","2680","-85","-3.07","2765","2765","2680","28193","76285495","36351750480","13564086"
"383220","F&F","KOSPI",,"68200","-700","-1.02","69000","69300","67900","76948","5252201200","2612542515000","38307075"
"007700","F&F홀딩스","KOSPI",,"15490","-180","-1.15","15700","15710","15350","32011","494808600","605881544830","39114367"
"214270","FSN","KOSDAQ","중견기업부","2875","-80","-2.71","2955","2980","2800","835953","2401978830","95595081125","33250463"
"130500","GH신소재","KOSDAQ","중견기업부","2745","-45","-1.61","2795","2795","2730","23488","64786310","39926167740","14545052"
"114090","GKL","KOSPI",,"12210","-90","-0.73","12280","12330","12180","144066","1762032100","755257730700","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3720","225","6.44","3500","3795","3495","261599","966808065","250635000000","67375000"
"078930","GS","KOSPI",,"46850","0","0.00","47300","47300","46600","86001","4034161800","4353085459300","92915378"
