종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3040","-35","-1.14","3040","3165","3025","4665354","14446054045","147551391680","48536642"
"095570","AJ네트웍스","KOSPI",,"4390","10","0.23","4370","4445","4370","43761","192721730","205549875050","46822295"
"006840","AK홀딩스","KOSPI",,"18290","60","0.33","18220","18530","18100","24339","443675190","242297890690","13247561"
"054620","APS","KOSDAQ","중견기업부","10870","-110","-1.00","11020","11130","10800","57422","627334820","221685182270","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","21750","400","1.87","21600","21950","21550","153369","3348739100","332370906750","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14250","-90","-0.63","14300","14480","14230","105007","1505587310","214922832000","15082304"
"027410","BGF","KOSPI",,"4090","-25","-0.61","4115","4125","4080","77388","317176705","391481675190","95716791"
"282330","BGF리테일","KOSPI",,"185700","-1100","-0.59","189500","189500","184900","18064","3364156800","3209621344200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","6350","-150","-2.31","6540","6540","6260","370732","2357695500","259518238900","40869014"
"138930","BNK금융지주","KOSPI",,"6920","-10","-0.14","6950","6950","6890","537404","3723630700","2255471902320","325935246"
"001460","BYC","KOSPI",,"423500","3500","0.83","416000","425000","413000","277","116352500","264524452500","624615"
"001465","BYC우","KOSPI",,"151700","2200","1.47","149400","152000","149300","46","6915200","32673904500","215385"
"013720","CBI","KOSDAQ","중견기업부","236","0","0.00","0","0","0","0","0","70810952996","300046411"
"001040","CJ","KOSPI",,"83800","-300","-0.36","84100","84100","82700","92143","7681046000","2445032432400","29176998"
"079160","CJ CGV","KOSPI",,"15020","-90","-0.60","14980","15080","14980","119357","1791377600","716869843720","47727686"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","76400","-1700","-2.18","78200","78500","76300","71541","5506425100","1675387365600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","26100","-200","-0.76","26500","26500","26000","10557","275901300","153433339200","5878672"
"00104K","CJ4우(전환)","KOSPI",,"69700","-500","-0.71","70200","70300","69300","7303","508122900","294587886400","4226512"
"000120","CJ대한통운","KOSPI",,"81100","-300","-0.37","82000","82900","81000","75737","6197010900","1850081098400","22812344"
"011150","CJ씨푸드","KOSPI",,"3975","270","7.29","3765","3975","3610","6309917","24755104085","142824822675","35930773"
"011155","CJ씨푸드1우","KOSPI",,"26200","200","0.77","26100","26200","25100","2710","75985950","5240000000","200000"
"001045","CJ우","KOSPI",,"50200","-100","-0.20","50300","50700","50100","940","47443700","113463194600","2260223"
"097950","CJ제일제당","KOSPI",,"318500","-4500","-1.39","323000","323000","313000","62096","19664015000","4794758241000","15054186"
"097955","CJ제일제당 우","KOSPI",,"148700","-1300","-0.87","150100","150900","148400","2825","421304900","197389287100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","29750","-50","-0.17","29800","29950","29400","24713","734335350","353179683500","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2195","-30","-1.35","2215","2235","2195","376143","830980615","304868475580","138892244"
"023460","CNH","KOSDAQ","중견기업부","2100","0","0.00","2100","2120","2095","4692","9852720","78120000000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1609","20","1.26","1589","1629","1580","136599","218710094","65964102204","40996956"
"065770","CS","KOSDAQ","벤처기업부","1596","3","0.19","1593","1602","1580","22098","35180462","30980163480","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1539","59","3.99","1528","1558","1430","181707","276929882","60715386027","39451193"
"000590","CS홀딩스","KOSPI",,"60800","300","0.50","60500","60800","60200","773","46761400","70192505600","1154482"
"012030","DB","KOSPI",,"2300","165","7.73","2135","2425","2105","62181667","144793921645","462700045900","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2120","0","0.00","0","0","0","0","0","12380800000","5840000"
"367340","DB금융스팩8호","KOSDAQ","관리종목(소속부없음)","2050","-5","-0.24","2055","2060","2050","40486","83147900","12402500000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2125","0","0.00","0","0","0","0","0","10285000000","4840000"
"016610","DB금융투자","KOSPI",,"4245","0","0.00","4280","4280","4240","19046","80916200","180184921305","42446389"
"005830","DB손해보험","KOSPI",,"76400","-2200","-2.80","79200","79200","75800","128586","9844298800","5409120000000","70800000"
"000990","DB하이텍","KOSPI",,"63100","1200","1.94","62600","64100","62300","928553","58661190100","2801550902800","44398588"
"000995","DB하이텍1우","KOSPI",,"65900","200","0.30","65700","67500","65700","2015","133848800","7401624400","112316"
"139130","DGB금융지주","KOSPI",,"7250","40","0.55","7260","7310","7200","598823","4345223010","1226307289250","169145833"
