종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2295","55","2.46","2245","2315","2240","193428","444195725","111391593390","48536642"
"095570","AJ네트웍스","KOSPI",,"3940","-20","-0.51","4045","4045","3865","344354","1351880695","178295870460","45252759"
"006840","AK홀딩스","KOSPI",,"16820","70","0.42","17000","17400","16760","8475","142833100","222823976020","13247561"
"054620","APS","KOSDAQ","중견기업부","7010","350","5.26","6680","7150","6680","41493","288143450","142963489210","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","16550","250","1.53","16600","16720","16430","28489","471586090","252907517550","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14260","-190","-1.31","14730","14800","14030","221866","3190025950","215073655040","15082304"
"027410","BGF","KOSPI",,"3360","-10","-0.30","3370","3425","3335","56460","189866800","321608417760","95716791"
"282330","BGF리테일","KOSPI",,"139200","-400","-0.29","139700","142800","137600","61748","8582474198","2405919715200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4215","65","1.57","4165","4265","4165","48911","206954240","227750254125","54033275"
"138930","BNK금융지주","KOSPI",,"7040","-20","-0.28","7060","7100","6990","767305","5407528990","2267502603520","322088438"
"001460","BYC","KOSPI",,"354000","8000","2.31","348500","355000","345500","2628","929646500","221113710000","624615"
"001465","BYC우","KOSPI",,"137300","0","0.00","137300","137400","137300","31","4259000","29572360500","215385"
"013720","CBI","KOSDAQ","중견기업부","2200","95","4.51","2080","2315","2080","978020","2168782595","66915547600","30416158"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2860","-10","-0.35","2885","2910","2860","61643","177336255","219917360520","76894182"
"001040","CJ","KOSPI",,"79600","-200","-0.25","81300","81400","77900","183357","14541587900","2322489040800","29176998"
"079160","CJ CGV","KOSPI",,"5180","80","1.57","5120","5210","5090","764525","3938086750","634193590100","122431195"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","53400","1100","2.10","52500","54400","52500","72852","3909063600","1171016823600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","14450","280","1.98","14150","14550","14120","8310","119000210","131675653900","9112502"
"00104K","CJ4우(전환)","KOSPI",,"63000","-500","-0.79","63500","63500","62100","3121","195666100","266270256000","4226512"
"000120","CJ대한통운","KOSPI",,"80400","-800","-0.99","81000","82400","80300","33266","2693897600","1834112457600","22812344"
"011150","CJ씨푸드","KOSPI",,"2710","10","0.37","2705","2760","2705","50887","138911065","97372394830","35930773"
"011155","CJ씨푸드1우","KOSPI",,"18800","-10","-0.05","18650","18810","18650","64","1196510","3760000000","200000"
"001045","CJ우","KOSPI",,"45900","1200","2.68","44700","46000","44450","1083","48431550","103744235700","2260223"
"097950","CJ제일제당","KOSPI",,"281500","500","0.18","284000","284500","277000","43937","12337211500","4237753359000","15054186"
"097955","CJ제일제당 우","KOSPI",,"129900","-300","-0.23","130200","131300","129100","2264","293825500","172433546700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","21800","200","0.93","21600","22050","21600","11631","253668100","258800574800","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2185","35","1.63","2175","2225","2160","305693","671550325","303479553140","138892244"
"023460","CNH","KOSDAQ","중견기업부","2000","5","0.25","1995","2000","1979","1824","3631887","74400000000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1139","-1","-0.09","1140","1159","1122","38200","43302048","53651975384","47104456"
"000480","CR홀딩스","KOSPI",,"7140","210","3.03","6900","7180","6900","23195","164881210","200954100480","28144832"
"065770","CS","KOSDAQ","벤처기업부","1544","33","2.18","1488","1544","1425","70214","104680133","29970784720","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1308","33","2.59","1277","1319","1276","19359","25330678","80111312748","61247181"
"000590","CS홀딩스","KOSPI",,"58300","100","0.17","57900","58400","57900","558","32416700","67306300600","1154482"
"012030","DB","KOSPI",,"1767","41","2.38","1726","1769","1726","307967","539240270","355474339611","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2840","190","7.17","2715","2865","2705","225250","628429730","16585600000","5840000"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2075","15","0.73","2060","2075","2045","81873","167992545","11028625000","5315000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","4430","125","2.90","4300","4585","4300","77209","341925220","21441200000","4840000"
"016610","DB금융투자","KOSPI",,"3890","5","0.13","3865","3905","3865","19907","77319045","165116453210","42446389"
"005830","DB손해보험","KOSPI",,"89100","100","0.11","89700","91400","87800","199303","17746558700","6308280000000","70800000"
"000990","DB하이텍","KOSPI",,"51100","1500","3.02","50400","51300","49900","220908","11217974300","2268767846800","44398588"
"139130","DGB금융지주","KOSPI",,"8170","-60","-0.73","8230","8270","8170","402943","3310005440","1381921455610","169145833"
"060900","DGP","KOSDAQ","중견기업부","2310","80","3.59","2210","2320","2210","100326","227325955","55583351670","24062057"
"025440","DH오토웨어","KOSDAQ","중견기업부","2215","20","0.91","2210","2370","2205","15057","33913705","68180411160","30781224"
"001530","DI동일","KOSPI",,"29000","1250","4.50","27950","29000","27850","191125","5433778050","755179633000","26040677"
"000210","DL","KOSPI",,"40500","550","1.38","40250","40650","39650","38644","1555053300","848713302000","20955884"
"001880","DL건설","KOSPI",,"11270","20","0.18","11250","11490","11250","9751","110218700","248540510680","22053284"
"000215","DL우","KOSPI",,"20150","0","0.00","20150","20250","19880","2151","43038190","33975217250","1686115"
"375500","DL이앤씨","KOSPI",,"29500","650","2.25","29100","30000","28850","221982","6506182500","1141461878500","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"20900","100","0.48","20950","21050","20800","2210","46079950","44139775900","2111951"
"37550K","DL이앤씨우","KOSPI",,"17310","50","0.29","17400","17400","17260","1212","20973090","36591349350","2113885"
"068790","DMS","KOSDAQ","우량기업부","5570","170","3.15","5390","5590","5390","45251","248918180","136871949770","24573061"
