종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"155660","DSR","KOSPI",,"4205","-30","-0.71","4235","4245","4180","22589","94974145","67280000000","16000000"
"069730","DSR제강","KOSPI",,"4145","15","0.36","4100","4150","4100","12531","51614105","59688000000","14400000"
"017860","DS단석","KOSPI",,"147600","1400","0.96","147200","149500","146700","26422","3906996600","865143230400","5861404"
"180400","DXVX","KOSDAQ","중견기업부","4995","-305","-5.75","5100","5480","4920","718165","3698102105","150946062840","30219432"
"017940","E1","KOSPI",,"66700","-300","-0.45","67300","67700","66500","12655","848405000","457562000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","472","-10","-2.07","482","487","467","1251177","596121124","65369144872","138493951"
"037370","EG","KOSDAQ","중견기업부","9050","-80","-0.88","9240","9290","9020","39431","358648220","78055996600","8624972"
"278990","EMB","KONEX","일반기업부","10000","-500","-4.76","10000","10000","9850","282","2793830","48015810000","4801581"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4360","-45","-1.02","4410","4470","4360","292442","1286371085","929068040000","213089000"
"050120","ES큐브","KOSDAQ","벤처기업부","2710","50","1.88","2660","2715","2610","12016","31974245","36758673060","13564086"
"383220","F&F","KOSPI",,"70300","-1400","-1.95","72300","72500","69600","97398","6856779100","2692987372500","38307075"
"007700","F&F홀딩스","KOSPI",,"14990","-170","-1.12","15160","15200","14920","19777","297846740","586324361330","39114367"
"214270","FSN","KOSDAQ","중견기업부","2430","-25","-1.02","2475","2480","2420","195597","477603985","80798625090","33250463"
"130500","GH신소재","KOSDAQ","중견기업부","2810","80","2.93","2735","2810","2730","39911","111216790","40871596120","14545052"
"114090","GKL","KOSPI",,"12860","-20","-0.16","12900","12970","12740","183482","2357221770","795463916200","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3255","-50","-1.51","3350","3350","3215","36630","119056025","219305625000","67375000"
"078930","GS","KOSPI",,"48250","-250","-0.52","48700","49200","48250","84607","4121774450","4483166988500","92915378"
"083450","GST","KOSDAQ","우량기업부","47250","-3150","-6.25","51600","52500","47250","797079","39593417000","440263451250","9317745"
"006360","GS건설","KOSPI",,"14950","-230","-1.52","15230","15230","14950","271583","4081889890","1279443275500","85581490"
"001250","GS글로벌","KOSPI",,"2705","35","1.31","2675","2750","2655","708801","1919350380","223253831620","82533764"
"007070","GS리테일","KOSPI",,"20300","-150","-0.73","20500","20550","20250","200024","4068469100","2125773816600","104717922"
"078935","GS우","KOSPI",,"38200","0","0.00","38200","38850","38100","1745","66627350","68180353200","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","5300","120","2.32","5160","5360","5070","2591252","13623799860","387505885400","73114318"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2875","-5","-0.17","2915","2915","2860","107141","308416115","77242653750","26867010"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2670","-155","-5.49","2725","2755","2655","5082065","13730168430","247551495720","92715916"
"012630","HDC","KOSPI",,"7980","-140","-1.72","8120","8200","7980","144377","1167314830","476738933580","59741721"
